"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"舒适霍安","舒适","霍安","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"舞者塘邪","舞者","塘邪","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"舞者显微镜","舞者","显微镜","unrelated","word","word",0.959680575127574,-0.383283253135304,0.309940472170909,0.0575545007945321,29,32,34,0,0.941176470588235,32,34,0,0.941176470588235,FALSE,FALSE,FALSE
"舞者跳舞","舞者","跳舞","related","word","word",0.842554903526868,-0.801362112981727,0.591017389560207,0.0881036705960732,45,49,50,0,0.98,47,49,1,0.959183673469388,TRUE,TRUE,FALSE
"航站机场","航站","机场","related","word","word",NA,-0.567316017235277,0.375872021575342,0.0542524532093432,48,51,53,2,0.962264150943396,41,54,1,0.759259259259259,TRUE,TRUE,FALSE
"航站给予","航站","给予","unrelated","word","word",NA,0.00620247342346912,1.26986963628645,0.151778451941462,70,76,82,0,0.926829268292683,58,82,0,0.707317073170732,FALSE,TRUE,TRUE
"航站黑时","航站","黑时","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"航罩快舌","航罩","快舌","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"航罩维他命","航罩","维他命","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"舱体切实","舱体","切实","unrelated","word","word",NA,0.4833570740966,1.09680802501515,0.22388500058974,24,26,34,3,0.764705882352941,27,35,2,0.771428571428571,FALSE,FALSE,FALSE
